Row(id=0, items=['Cat', 'Black', 'Small MaturitySize', 'Short Fur', 'No Vaccinated', 'No Dewormed', 'No Sterilized', 'Healthy', 'Adoption in the first month'], prediction=['Medium MaturitySize'])
Row(id=1, items=['Cat', 'Black', 'Medium MaturitySize', 'Medium Fur', 'Not Sure Vaccinated', 'Not Sure Dewormed', 'Not Sure Sterilized', 'Healthy', 'Adoption on the same day'], prediction=['No Sterilized'])
Row(id=2, items=['Dog', 'Brown', 'Medium MaturitySize', 'Medium Fur', 'Yes Vaccinated', 'Yes Dewormed', 'No Sterilized', 'Healthy', 'Adoption within the first 3 months'], prediction=[])
Row(id=3, items=['Dog', 'Black', 'Medium MaturitySize', 'Short Fur', 'Yes Vaccinated', 'Yes Dewormed', 'No Sterilized', 'Healthy', 'Adoption in the first month'], prediction=[])
Row(id=4, items=['Dog', 'Black', 'Medium MaturitySize', 'Short Fur', 'No Vaccinated', 'No Dewormed', 'No Sterilized', 'Healthy', 'Adoption in the first month'], prediction=[])
Row(id=5, items=['Cat', 'Cream', 'Medium MaturitySize', 'Short Fur', 'No Vaccinated', 'No Dewormed', 'No Sterilized', 'Healthy', 'Adoption in the first month'], prediction=[])
Row(id=6, items=['Cat', 'Black', 'Medium MaturitySize', 'Long Fur', 'No Vaccinated', 'No Dewormed', 'Not Sure Sterilized', 'Healthy', 'Adoption in the first week'], prediction=['No Sterilized'])
Row(id=7, items=['Dog', 'Black', 'Medium MaturitySize', 'Short Fur', 'No Vaccinated', 'No Dewormed', 'No Sterilized', 'Healthy', 'Adoption within the first 3 months'], prediction=[])
Row(id=8, items=['Cat', 'Gray', 'Medium MaturitySize', 'Medium Fur', 'No Vaccinated', 'No Dewormed', 'No Sterilized', 'Healthy', 'Adoption in the first week'], prediction=[])
Row(id=9, items=['Cat', 'Black', 'Medium MaturitySize', 'Medium Fur', 'Not Sure Vaccinated', 'Not Sure Dewormed', 'Not Sure Sterilized', 'Healthy', 'No adoption after 100 days'], prediction=['No Sterilized'])
Row(id=10, items=['Dog', 'Black', 'Medium MaturitySize', 'Short Fur', 'No Vaccinated', 'Yes Dewormed', 'No Sterilized', 'Healthy', 'Adoption in the first week'], prediction=[])
Row(id=11, items=['Cat', 'Black', 'Large MaturitySize', 'Long Fur', 'Yes Vaccinated', 'Yes Dewormed', 'No Sterilized', 'Healthy', 'Adoption in the first week'], prediction=['Medium MaturitySize'])
Row(id=12, items=['Dog', 'Brown', 'Medium MaturitySize', 'Long Fur', 'Yes Vaccinated', 'Yes Dewormed', 'No Sterilized', 'Healthy', 'Adoption in the first month'], prediction=[])
Row(id=13, items=['Cat', 'Black', 'Small MaturitySize', 'Medium Fur', 'No Vaccinated', 'No Dewormed', 'Not Sure Sterilized', 'Healthy', 'Adoption in the first week'], prediction=['No Sterilized', 'Medium MaturitySize'])
Row(id=14, items=['Dog', 'Brown', 'Medium MaturitySize', 'Medium Fur', 'Not Sure Vaccinated', 'Not Sure Dewormed', 'Not Sure Sterilized', 'Healthy', 'Adoption in the first month'], prediction=['No Sterilized'])
Row(id=15, items=['Dog', 'Black', 'Medium MaturitySize', 'Medium Fur', 'Not Sure Vaccinated', 'Not Sure Dewormed', 'Not Sure Sterilized', 'Healthy', 'No adoption after 100 days'], prediction=['No Sterilized'])
Row(id=16, items=['Cat', 'Brown', 'Small MaturitySize', 'Short Fur', 'Yes Vaccinated', 'Yes Dewormed', 'Yes Sterilized', 'Healthy', 'Adoption within the first 3 months'], prediction=['No Sterilized', 'Medium MaturitySize'])
Row(id=17, items=['Dog', 'Brown', 'Medium MaturitySize', 'Short Fur', 'No Vaccinated', 'Yes Dewormed', 'Yes Sterilized', 'Healthy', 'No adoption after 100 days'], prediction=['No Sterilized'])
Row(id=18, items=['Dog', 'Black', 'Medium MaturitySize', 'Short Fur', 'No Vaccinated', 'Yes Dewormed', 'No Sterilized', 'Healthy', 'Adoption in the first month'], prediction=[])
