Breed1,Age,Type,AdoptionSpeed
265,2,2,1
266,3,2,3
266,3,2,1
285,12,2,2
307,2,1,4
307,3,1,4
307,2,1,1
70,1,1,1
266,3,2,2
307,4,1,3
254,2,2,4
307,9,1,4
266,3,2,3
307,3,1,4
285,4,2,2
285,42,2,4
266,4,2,1
218,2,1,3
265,1,2,4
307,2,1,4
265,2,2,2
266,48,2,2
265,1,2,1
49,24,1,3
266,8,2,3
307,6,1,4
265,4,2,1
266,4,2,3
307,1,1,2
272,16,2,4
266,5,2,4
141,1,1,1
307,2,1,3
307,3,1,2
307,2,1,1
307,2,1,2
266,3,2,3
292,6,2,2
266,1,2,2
141,3,1,2
266,2,2,2
169,84,1,1
266,3,2,3
307,1,1,3
264,3,2,1
266,2,2,2
103,2,1,2
266,1,2,2
307,0,1,1
265,6,2,4
78,6,1,3
266,2,2,1
266,1,2,1
266,2,2,3
307,1,1,4
205,48,1,4
307,1,1,4
103,1,1,3
307,1,1,2
307,2,1,2
20,60,1,2
307,3,1,3
266,60,2,3
109,4,1,4
266,1,2,4
179,72,1,4
307,3,1,2
266,3,2,2
266,8,2,3
299,1,2,2
103,36,1,3
307,1,1,3
307,36,1,4
307,1,1,1
307,12,1,1
307,1,1,3
307,2,1,4
266,1,2,2
265,8,2,3
307,12,1,4
265,19,2,4
266,4,2,3
266,60,2,3
283,3,2,2
109,24,1,2
72,18,1,2
206,7,1,2
307,24,1,3
266,2,2,2
307,2,1,4
307,2,1,1
307,1,1,3
266,12,2,4
266,3,2,4
307,15,1,3
266,4,2,2
307,4,1,2
300,4,2,4
307,3,1,0
307,2,1,3
128,72,1,4
285,4,2,1
307,1,1,3
122,61,1,3
266,6,2,4
292,7,2,2
292,6,2,3
266,2,2,2
266,12,2,4
266,3,2,3
307,3,1,2
307,2,1,2
307,1,1,2
307,3,1,2
307,2,1,1
307,2,1,1
141,12,1,2
265,3,2,1
205,7,1,1
266,3,2,1
266,6,2,1
292,14,2,2
266,4,2,1
265,1,2,3
307,4,1,2
307,2,1,4
266,2,2,4
205,36,1,1
265,13,2,4
266,2,2,1
266,18,2,3
266,6,2,2
299,31,2,4
307,12,1,4
307,2,1,2
251,4,2,2
265,4,2,3
299,1,2,1
307,24,1,3
285,7,2,2
307,1,1,2
266,7,2,1
265,3,2,4
307,24,1,1
264,12,2,1
243,1,2,4
307,3,1,4
307,36,1,3
103,12,1,4
307,6,1,3
307,11,1,4
265,6,2,2
307,2,1,3
307,1,1,1
306,10,2,3
266,6,2,4
195,60,1,4
307,3,1,2
307,2,1,3
109,96,1,4
307,3,1,3
147,2,1,3
75,18,1,3
299,1,2,0
266,12,2,2
307,48,1,4
306,2,2,2
307,12,1,4
266,12,2,4
307,2,1,2
307,2,1,3
231,72,1,2
307,60,1,2
